All paths and it's time using the transport below.
Bus: false
Subwalk: false
Walk: false
Heuristic usage: algorithm.Heuristic1
N30 N21 0.15064
N30 N22 0.15076
N30 N23 0.066881
N30 N24 0.090921
N30 N25 0.130121
N30 N26 0.1968
N30 N27 0.155601
N30 N28 0.144961
N30 N29 0.13368
N30 N30 0.003279
N30 N30 0.003239
N30 N11 0.05216
N30 N12 0.151401
N30 N13 0.06652
N30 N14 0.006801
N30 N15 0.1516
N30 N16 0.05968
N30 N17 0.011959
N30 N18 0.085359
N30 N19 0.107119
N30 N20 0.12248
N30 N21 0.153759
N30 N22 0.32064
N30 N23 0.067399
N30 N24 0.089959
N30 N25 0.12728
N30 N26 0.139039
N30 N27 0.15132
N30 N28 0.14348
N30 N29 0.13052
N30 N30 0.00328
N30 N30 0.003241
N30 N12 0.1526
N30 N13 0.066961
N30 N14 0.00656
N30 N15 0.15168
N30 N16 0.060319
N30 N17 0.01212
N30 N18 0.087841
N30 N19 0.1076
N30 N20 0.1222
N30 N21 0.153639
N30 N22 0.15372
N30 N23 0.067999
N30 N24 0.092639
N30 N25 0.1682
N30 N26 0.14216
N30 N27 0.15724
N30 N28 0.146321
N30 N29 0.13536
N30 N30 0.003241
N30 N30 0.0066
N30 N13 0.072159
N30 N14 0.006721
N30 N15 0.15276
N30 N16 0.05916
N30 N17 0.011919
N30 N18 0.08544
N30 N19 0.10668
N30 N20 0.12136
N30 N21 0.1572
N30 N22 0.15228
N30 N23 0.06708
N30 N24 0.091241
N30 N25 0.130481
N30 N26 0.140879
N30 N27 0.15584
N30 N28 0.149519
N30 N29 0.13412
N30 N30 0.003321
N30 N30 0.00344
N30 N14 0.00692
N30 N15 0.1514
N30 N16 0.059721
N30 N17 0.012121
N30 N18 0.085601
N30 N19 0.10804
N30 N20 0.12604
N30 N21 0.15328
N30 N22 0.152879
N30 N23 0.06808
N30 N24 0.09232
N30 N25 0.13256
N30 N26 0.1422
N30 N27 0.60896
N30 N28 0.154039
N30 N29 0.132759
N30 N30 0.00328
N30 N30 0.00316
N30 N15 0.1586
N30 N16 0.059719
N30 N17 0.012119
N30 N18 1.37724
N30 N19 0.10784
N30 N20 0.11748
N30 N21 0.150921
N30 N22 0.14452
N30 N23 0.06652
N30 N24 0.08904
N30 N25 0.125721
N30 N26 0.134199
N30 N27 0.14856
N30 N28 0.19576
N30 N29 0.13404
N30 N30 0.0034
N30 N30 0.003241
N30 N16 0.06072
N30 N17 0.01196
N30 N18 0.08572
N30 N19 0.10692
N30 N20 0.121439
N30 N21 0.18392
N30 N22 0.15256
N30 N23 0.0686
N30 N24 0.09232
N30 N25 0.13132
N30 N26 0.1412
N30 N27 0.156201
